year,Tmean,Anom,Normal,,filter11,Std Dev (11 year average),Stdev 11 year temps,95%confidence
1900,9.33,-0.22,0,,,,,
1901,9.12,-0.42,0,,,,,
1902,9.17,-0.38,0,,,,,
1903,9.11,-0.44,0,,,,,
1904,9.07,-0.47,0,,,,,
1905,9.29,-0.26,0,,-0.356363636363636,0.20679810092323,#REF!,#REF!
1906,9.3,-0.24,0,,-0.33,0.241495341569977,#REF!,#REF!
1907,8.99,-0.56,0,,-0.327272727272727,0.24054483611547,#REF!,#REF!
1908,9.67,0.12,0,,-0.308181818181818,0.24424652226053,#REF!,#REF!
1909,8.89,-0.66,0,,-0.263636363636364,0.261850061190473,#REF!,#REF!
1910,9.15,-0.39,0,,-0.274545454545455,0.273545741563039,#REF!,#REF!
1911,9.62,0.07,0,,-0.274545454545455,0.273545741563039,#REF!,#REF!
1912,9.15,-0.39,0,,-0.325454545454545,0.315384325430534,#REF!,#REF!
1913,9.38,-0.17,0,,-0.279090909090909,0.314942996285186,#REF!,#REF!
1914,9.6,0.05,0,,-0.363636363636364,0.321846942731253,#REF!,#REF!
1915,8.96,-0.59,0,,-0.307272727272727,0.319032628710322,#REF!,#REF!
1916,9.29,-0.26,0,,-0.187272727272727,0.48820264049042,#REF!,#REF!
1917,8.75,-0.8,0,,-0.245454545454545,0.492592400192363,#REF!,#REF!
1918,9.5,-0.05,0,,-0.240909090909091,0.491354343533352,#REF!,#REF!
1919,8.73,-0.81,0,,-0.24,0.491507883965252,#REF!,#REF!
1920,9.51,-0.04,0,,-0.283636363636364,0.484443448242883,#REF!,#REF!
1921,10.47,0.93,0,,-0.205454545454546,0.499226674695246,#REF!,#REF!
1922,8.98,-0.57,0,,-0.198181818181818,0.498935229901,#REF!,#REF!
1923,9.2,-0.34,0,,-0.123636363636364,0.459744988602872,#REF!,#REF!
1924,9.38,-0.16,0,,-0.128181818181818,0.459190988191584,#REF!,#REF!
1925,9.11,-0.43,0,,-0.086363636363636,0.409103232137629,#REF!,#REF!
1926,9.82,0.27,0,,-0.084545454545455,0.409374245315057,#REF!,#REF!
1927,9.37,-0.18,0,,-0.153636363636364,0.256681620973249,#REF!,#REF!
1928,9.57,0.02,0,,-0.056363636363636,0.284368518907165,#REF!,#REF!
1929,9.45,-0.1,0,,0.015454545454546,0.304610033858494,#REF!,#REF!
1930,9.19,-0.35,0,,0.035454545454546,0.299110803427881,#REF!,#REF!
1931,9.52,-0.02,0,,0.079090909090909,0.256376853302109,#REF!,#REF!
1932,9.71,0.17,0,,0.047272727272727,0.251995670958487,#REF!,#REF!
1933,10.04,0.5,0,,0.103636363636364,0.265076318341444,#REF!,#REF!
1934,10,0.45,0,,0.119090909090909,0.264667887944667,#REF!,#REF!
1935,9.6,0.06,0,,0.141818181818182,0.254512010789989,#REF!,#REF!
1936,9.59,0.05,0,,0.159090909090909,0.222191563541668,#REF!,#REF!
1937,9.47,-0.08,0,,0.168181818181818,0.216093414143892,#REF!,#REF!
1938,9.98,0.44,0,,0.21,0.257099202643649,#REF!,#REF!
1939,9.74,0.19,0,,0.201818181818182,0.248226436215733,#REF!,#REF!
1940,9.7,0.15,0,,0.263636363636364,0.370682417367555,#REF!,#REF!
1941,9.39,-0.16,0,,0.268181818181818,0.368234115253277,#REF!,#REF!
1942,9.63,0.08,0,,0.266363636363636,0.369466445763962,#REF!,#REF!
1943,10.18,0.63,0,,0.327272727272727,0.361803562975571,#REF!,#REF!
1944,9.95,0.41,0,,0.384545454545455,0.425660983327428,#REF!,#REF!
1945,10.67,1.13,0,,0.364545454545454,0.440621461945821,#REF!,#REF!
1946,9.65,0.11,0,,0.325454545454545,0.478964792784681,#REF!,#REF!
1947,9.57,0.03,0,,0.327272727272727,0.476971506677095,#REF!,#REF!
1948,10.13,0.59,0,,0.371818181818182,0.474443214343259,#REF!,#REF!
1949,10.61,1.07,0,,0.308181818181818,0.483214614468937,#REF!,#REF!
1950,9.52,-0.03,0,,0.283636363636364,0.484381517551459,#REF!,#REF!
1951,9.27,-0.28,0,,0.177272727272727,0.40127523993117,#REF!,#REF!
1952,9.4,-0.14,0,,0.218181818181818,0.416384874408718,#REF!,#REF!
1953,10.12,0.57,0,,0.232727272727273,0.411924529716085,#REF!,#REF!
1954,9.48,-0.07,0,,0.26,0.446430285710994,#REF!,#REF!
1955,9.69,0.14,0,,0.173636363636364,0.356995034342853,#REF!,#REF!
1956,9.5,-0.04,0,,0.202727272727273,0.351741123813833,#REF!,#REF!
